#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:35.91 aq:32.35 tex:155406 mv:30208 misc:1634 imb:918 pmb:2207 smb:475 d:s ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:34.93 aq:34.30 tex:49951 mv:26954 misc:3255 imb:120 pmb:1935 smb:1545 d:t ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:34.43 aq:35.83 tex:21764 mv:15243 misc:3073 imb:38 pmb:1221 smb:2341 d:t ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:35.42 aq:36.62 tex:16938 mv:13749 misc:3097 imb:39 pmb:1120 smb:2441 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:37.43 aq:34.50 tex:119771 mv:29321 misc:1940 imb:927 pmb:2104 smb:569 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:36.67 aq:36.03 tex:34394 mv:23625 misc:3253 imb:100 pmb:1729 smb:1771 d:t ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:36.29 aq:38.19 tex:14176 mv:12350 misc:2866 imb:39 pmb:1003 smb:2558 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:37.05 aq:39.21 tex:11622 mv:11482 misc:2800 imb:31 pmb:941 smb:2628 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:38.58 aq:35.91 tex:106018 mv:27479 misc:2111 imb:995 pmb:1901 smb:704 d:t ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:38.00 aq:37.76 tex:27348 mv:14620 misc:3248 imb:111 pmb:1301 smb:2188 d:t ref:0 ;
